Group	Bracketing	Prosody	Text	Solution	condition	item	playlist	First	lab	ResultLeft	ResultRight	ResultCorrect	participant	recordedfile	DifficultyRating	trialN
OnlyRight	Right	Early boundary after operator	2+(7*8)=?	2+(7*8)=58	1	1	0	PlusMinus	two plus seven times eight equals fifty eight	72	58	58	36	arith11_36_1_1.wav	2	1
OnlyRight	Right	Early boundary before operator	3-(2*4)=?	3-(2*4)=-5	1	2	0	PlusMinus	three minus two times four equals negative five	4	-5	-5	36	arith11_36_2_1.wav	1	2
OnlyRight	Right	Early boundary before operator	7-(2*6)=?	7-(2*6)=-5	1	6	0	PlusMinus	seven minus two times six equals negative five	30	-5	-5	36	arith11_36_6_1.wav	1	6
OnlyRight	Right	Early boundary before operator	8+(3*5)=?	8+(3*5)=23	1	7	0	PlusMinus	eight plus three times five equals twenty three	55	23	23	36	arith11_36_7_1.wav	1	7
OnlyRight	Right	Early boundary after operator	6+(5*4)=?	6+(5*4)=26	1	8	0	PlusMinus	six plus five times four equals twenty six	44	26	26	36	arith11_36_8_1.wav	1	8
OnlyRight	Right	Early boundary before operator	7*(2+8)=?	7*(2+8)=70	1	9	0	Times	seven times two plus eight equals seventy	17	70	70	36	arith11_36_9_1.wav	1	9
OnlyRight	Right	Early boundary before operator	6*(2+4)=?	6*(2+4)=36	1	10	0	Times	six times two plus four equals thirty six	16	36	36	36	arith11_36_10_1.wav	1	10
OnlyRight	Right	Early boundary before operator	5*(8+1)=?	5*(8+1)=45	1	11	0	Times	five times eight plus one equals forty five	41	45	45	36	arith11_36_11_1.wav	1	11
OnlyRight	Right	Early boundary before operator	9*(4-7)=?	9*(4-7)=-27	1	12	0	Times	nine times four minus seven equals negative twenty seven	29	-27	-27	36	arith11_36_12_1.wav	1	12
OnlyRight	Right	Early boundary before operator	8*(3-2)=?	8*(3-2)=8	1	13	0	Times	eight times three minus two equals 8 	22	8	8	36	arith11_36_13_1.wav	1	13
OnlyRight	Right	Early boundary before operator	3*(4-9)=?	3*(4-9)=-15	1	14	0	Times	three times four minus nine equals negative fifteen	3	-15	-15	36	arith11_36_14_1.wav	1	14
OnlyRight	Right	Early boundary before operator	2*(7+3)=?	2*(7+3)=20	1	15	0	Times	two times seven plus three equals twenty	17	20	20	36	arith11_36_15_1.wav	1	15
OnlyRight	Right	Early boundary before operator	4*(5-6)=?	4*(5-6)=-4	1	16	0	Times	four times five minus six equals negative four	14	-4	-4	36	arith11_36_16_1.wav	1	16
